word,phonetic,pos,meaning,example,exampleCn,category,level,list
australian,ɒ'streiljәn,n.,"n. 澳大利亚人\na. 澳大利亚的, 澳洲的, 澳洲人的",Australian deserts.,这个例句展示了“australian”在四级阅读和写作中的常见用法。,daily|cet4,,
anthony,'æntәni,n.,n. 安东尼（人名）,"Students often meet the word ""anthony"" in reading and daily communication.",这个例句展示了“anthony”在四级阅读和写作中的常见用法。,daily|cet4,,
silk,silk,n.,"n. 丝, 绸, 绸锻类, 丝织品\na. 丝的, 丝织的","Students often meet the word ""silk"" in reading and daily communication.",这个例句展示了“silk”在四级阅读和写作中的常见用法。,daily|cet4,,
differently,'difrentli,adv.,"adv. 差异, 不同, 各别, 各种",Very soon you will know differently.,这个例句展示了“differently”在四级阅读和写作中的常见用法。,daily|cet4,,
nicholas,'nikәlәs,n.,n. 尼古拉斯（男子名）,"Students often meet the word ""nicholas"" in reading and daily communication.",这个例句展示了“nicholas”在四级阅读和写作中的常见用法。,daily|cet4,,
orange,'ɒ:rindʒ,n.,"n. 柑橘, 桔子, 橘色\na. 橘色的","Students often meet the word ""orange"" in reading and daily communication.",这个例句展示了“orange”在四级阅读和写作中的常见用法。,daily|cet4,,
douglas,'dʌ^lәs,n.,n. 道格拉斯（男子名）；道格拉斯（英国马恩岛首府）,"Students often meet the word ""douglas"" in reading and daily communication.",这个例句展示了“douglas”在四级阅读和写作中的常见用法。,daily|cet4,,
borough,'bә:rәu,n.,"n. 自治的市镇, 区","Students often meet the word ""borough"" in reading and daily communication.",这个例句展示了“borough”在四级阅读和写作中的常见用法。,daily|cet4,,
jimmy,'dʒimi,v.,n. 铁撬\nvt. 撬,In Britain they call a jimmy and jemmy.,这个例句展示了“jimmy”在四级阅读和写作中的常见用法。,daily|cet4,,
earl,ә:l,n.,n. 伯爵,"Students often meet the word ""earl"" in reading and daily communication.",这个例句展示了“earl”在四级阅读和写作中的常见用法。,daily|cet4,,
notably,'nәjtbәli,adv.,"adv. 显著地, 著名地, 尤其, 特别","Notably in the social sciences, the professors teach too much.",这个例句展示了“notably”在四级阅读和写作中的常见用法。,daily|cet4,,
gary,'^eәri,n.,n. 盖理,"Students often meet the word ""gary"" in reading and daily communication.",这个例句展示了“gary”在四级阅读和写作中的常见用法。,daily|cet4,,
kate,keit,n.,"n. 凯特（女子名, 等于Catherine）","Students often meet the word ""kate"" in reading and daily communication.",这个例句展示了“kate”在四级阅读和写作中的常见用法。,daily|cet4,,
purchaser,'pә:tʃәsә,n.,"n. 买方, 购买者\n[经] 买主, 购买人","Students often meet the word ""purchaser"" in reading and daily communication.",这个例句展示了“purchaser”在四级阅读和写作中的常见用法。,daily|cet4,,
vendor,'vendә,n.,"n. 小贩, 卖主, 自动售货机\n[计] 计算机销售商","Students often meet the word ""vendor"" in reading and daily communication.",这个例句展示了“vendor”在四级阅读和写作中的常见用法。,daily|cet4,,
ulster,'ʌlstә,n.,n. 有带的宽大长外套,"Students often meet the word ""ulster"" in reading and daily communication.",这个例句展示了“ulster”在四级阅读和写作中的常见用法。,daily|cet4,,
dutch,dʌtʃ,n.,"n. 荷兰人, 荷兰语\na. 荷兰的",The Dutch are famous for their tulips.,这个例句展示了“dutch”在四级阅读和写作中的常见用法。,daily|cet4,,
institutional,.insti'tju:ʃәnәl,adj.,"a. 制度的, 公共机构的, 学会的\n[法] 组织机构的, 制度的, 公共机构的",Institutional policy.,这个例句展示了“institutional”在四级阅读和写作中的常见用法。,daily|cet4,,
calculation,.kælkju'leiʃәn,n.,"n. 计算, 考虑, 计算的结果\n[经] 计算","Students often meet the word ""calculation"" in reading and daily communication.",这个例句展示了“calculation”在四级阅读和写作中的常见用法。,daily|cet4,,
nomination,.nɒmi'neiʃәn,n.,"n. 提名, 任命, 提名权",The Republican nomination for Governor.,这个例句展示了“nomination”在四级阅读和写作中的常见用法。,daily|cet4,,
christopher,'kristәfә,n.,n. 克里斯多夫（男子名）,"Students often meet the word ""christopher"" in reading and daily communication.",这个例句展示了“christopher”在四级阅读和写作中的常见用法。,daily|cet4,,
actress,'æktris,n.,n. 女演员,"Students often meet the word ""actress"" in reading and daily communication.",这个例句展示了“actress”在四级阅读和写作中的常见用法。,daily|cet4,,
essex,'esiks,n.,n. 艾塞克斯郡(英格兰郡名),"Students often meet the word ""essex"" in reading and daily communication.",这个例句展示了“essex”在四级阅读和写作中的常见用法。,daily|cet4,,
gifted,'giftid,v.,a. 有天才的,A gifted writer.,这个例句展示了“gifted”在四级阅读和写作中的常见用法。,daily|cet4,,
oliver,'ɒlivә,n.,n. 脚踏铁锤,"Students often meet the word ""oliver"" in reading and daily communication.",这个例句展示了“oliver”在四级阅读和写作中的常见用法。,daily|cet4,,
odds,ɒdz,n.,"n. 可能性, 几率, 机会, 胜算, 不平等",He offered odds of two to one.,这个例句展示了“odds”在四级阅读和写作中的常见用法。,daily|cet4,,
chapel,'tʃæpәl,n.,"n. 小教堂, 礼拜式",He was late for chapel.,这个例句展示了“chapel”在四级阅读和写作中的常见用法。,daily|cet4,,
frustration,frʌs'treiʃәn,n.,"n. 挫折, 顿挫\n[医] 挫折",Her constant complaints were the main source of his frustration.,这个例句展示了“frustration”在四级阅读和写作中的常见用法。,daily|cet4,,
lloyd,lɔid,n.,n. 劳埃德（男子名）,"Students often meet the word ""lloyd"" in reading and daily communication.",这个例句展示了“lloyd”在四级阅读和写作中的常见用法。,daily|cet4,,
dublin,'dʌblin,n.,n. 都柏林,"Students often meet the word ""dublin"" in reading and daily communication.",这个例句展示了“dublin”在四级阅读和写作中的常见用法。,daily|cet4,,
running,'rʌniŋ,n.,"n. 赛跑, 流出, 运转\na. 流动的, 跑着的, 连续的",The coach put great emphasis on running.,这个例句展示了“running”在四级阅读和写作中的常见用法。,daily|cet4,,
basket,'bɑ:skit,v.,"n. 篮, 篮子\nvt. 装入篮","Students often meet the word ""basket"" in reading and daily communication.",这个例句展示了“basket”在四级阅读和写作中的常见用法。,daily|cet4,,
kevin,'kenin,n.,n. 凯文（男子名）,"Students often meet the word ""kevin"" in reading and daily communication.",这个例句展示了“kevin”在四级阅读和写作中的常见用法。,daily|cet4,,
fighting,'faitiŋ,n.,"a. 战斗的, 容易引起争斗的, 适于格斗的, 好斗的, 好战的, 斗争的, 搏斗的\nn. 战斗, 斗争, 搏斗",There was fighting in the streets.,这个例句展示了“fighting”在四级阅读和写作中的常见用法。,daily|cet4,,
directive,di'rektiv,n.,"a. 指导的, 指挥的, 方向的\nn. 指令\n[计] 指令; 命令","Students often meet the word ""directive"" in reading and daily communication.",这个例句展示了“directive”在四级阅读和写作中的常见用法。,daily|cet4,,
diana,dai'ænә,n.,"n. 狄安娜, 独身女子","Students often meet the word ""diana"" in reading and daily communication.",这个例句展示了“diana”在四级阅读和写作中的常见用法。,daily|cet4,,
allocation,.ælәu'keiʃәn,n.,"n. 配置, 分配, 拨给\n[经] 分配, 拨款, 分摊","Students often meet the word ""allocation"" in reading and daily communication.",这个例句展示了“allocation”在四级阅读和写作中的常见用法。,daily|cet4,,
darling,'dɑ:liŋ,n.,"n. 亲爱的, 可爱的人, 可爱的物\na. 可爱的, 亲爱的","Students often meet the word ""darling"" in reading and daily communication.",这个例句展示了“darling”在四级阅读和写作中的常见用法。,daily|cet4,,
continued,kәn'tinju:d,v.,"a. 继续的, 延续的\n[医] 连续的",We continued to work into the night.,这个例句展示了“continued”在四级阅读和写作中的常见用法。,daily|cet4,,
cookie,'kuki,n.,"n. 饼干, 小甜点\n[建] 糕点","Students often meet the word ""cookie"" in reading and daily communication.",这个例句展示了“cookie”在四级阅读和写作中的常见用法。,daily|cet4,,
exact,ig'zækt,v.,"a. 精确的, 准确的, 精密的\nvt. 强求, 急需",An exact mind.,这个例句展示了“exact”在四级阅读和写作中的常见用法。,daily|cet4,,
cooking,'kukiŋ,n.,n. 烹饪\n[化] 熬炼; 热炼; 蒸煮,Cooking can be a great art.,这个例句展示了“cooking”在四级阅读和写作中的常见用法。,daily|cet4,,
advertisement,.ædvә'taizmәnt,n.,"n. 广告, 启事, 广告宣传\n[法] 广告, 公告, 告示","Students often meet the word ""advertisement"" in reading and daily communication.",这个例句展示了“advertisement”在四级阅读和写作中的常见用法。,daily|cet4,,
accountant,ә'kauntәnt,n.,"n. 会计人员, 会计师\n[经] 会计师, 会计人员","Students often meet the word ""accountant"" in reading and daily communication.",这个例句展示了“accountant”在四级阅读和写作中的常见用法。,daily|cet4,,
killing,'kiliŋ,n.,"n. 谋杀, 杀戮\na. 杀害的, 疲惫的, 迷人的",These new shoes are killing me!,这个例句展示了“killing”在四级阅读和写作中的常见用法。,daily|cet4,,
westminster,'westminstә,n.,n. 威斯敏斯特,"Students often meet the word ""westminster"" in reading and daily communication.",这个例句展示了“westminster”在四级阅读和写作中的常见用法。,daily|cet4,,
farming,'fɑ:miŋ,n.,"n. 农业, 耕作",Farming is a strenuous life.,这个例句展示了“farming”在四级阅读和写作中的常见用法。,daily|cet4,,
everyday,'evri'dei,adj.,"a. 每天的, 日常的, 平常的",A placid everyday scene.,这个例句展示了“everyday”在四级阅读和写作中的常见用法。,daily|cet4,,
ford,fɒ:d,v.,"n. 浅滩, 福特汽车\nv. 涉过, 涉水","Students often meet the word ""ford"" in reading and daily communication.",这个例句展示了“ford”在四级阅读和写作中的常见用法。,daily|cet4,,
egypt,'i:dʒipt,n.,n. 埃及,"Students often meet the word ""egypt"" in reading and daily communication.",这个例句展示了“egypt”在四级阅读和写作中的常见用法。,daily|cet4,,
piano,pi'ɑ:nәu,n.,n. 钢琴,The piano passages in the composition.,这个例句展示了“piano”在四级阅读和写作中的常见用法。,daily|cet4,,
quarterback,'kwɒ:tәbæk,v.,n. 四分卫\nvi. 担任四分卫,Quarterback is the most important position on the team.,这个例句展示了“quarterback”在四级阅读和写作中的常见用法。,daily|cet4,,
thirteen,'θә:'ti:n,n.,"num. 十三, 十三个","Students often meet the word ""thirteen"" in reading and daily communication.",这个例句展示了“thirteen”在四级阅读和写作中的常见用法。,daily|cet4,,
california,.kæli'fɒ:njә,n.,n. 加利福尼亚,"Students often meet the word ""california"" in reading and daily communication.",这个例句展示了“california”在四级阅读和写作中的常见用法。,daily|cet4,,
taxi,'tæksi,v.,n. 出租车\nvi. 乘出租车\nvt. 用出租车送,"Students often meet the word ""taxi"" in reading and daily communication.",这个例句展示了“taxi”在四级阅读和写作中的常见用法。,daily|cet4,,
formally,'fɒ:mәli,adv.,"adv. 正式地, 形式上",The club will be formally recognized.,这个例句展示了“formally”在四级阅读和写作中的常见用法。,daily|cet4,,
stuart,stjuәt,n.,"n. 英国斯图亚特王室；斯图尔特（男子名, 等于Stewart）","Students often meet the word ""stuart"" in reading and daily communication.",这个例句展示了“stuart”在四级阅读和写作中的常见用法。,daily|cet4,,
painter,'peintә,n.,"n. 画家, 油漆匠\n[机] 油漆匠, 喷漆匠","Students often meet the word ""painter"" in reading and daily communication.",这个例句展示了“painter”在四级阅读和写作中的常见用法。,daily|cet4,,
pie,pai,n.,"n. 馅饼, 财富, 总额, 贪污受贿, 杂乱, 喜鹊\n[计] 饼图","Students often meet the word ""pie"" in reading and daily communication.",这个例句展示了“pie”在四级阅读和写作中的常见用法。,daily|cet4,,
